,time,discharge
0,120.0,1.50000016674e-05
1,240.0,0.00297800000169
2,333.411816405,0.00839212885923
3,403.358434262,0.0171970735292
4,459.405869027,0.0287219677152
5,506.711294365,0.0426964597083
6,547.618708438,0.0598095216284
7,584.003720436,0.0794419725908
8,616.852185626,0.102271688115
9,646.995367793,0.127844017271
10,675.048529543,0.152793259263
11,701.442299174,0.179340481861
12,726.44177367,0.207730428814
13,750.290298935,0.237880476778
14,773.07602018,0.270363927919
15,795.054887449,0.30355143914
16,816.258037892,0.338697717613
17,836.872055545,0.37446363336
18,856.855248086,0.412825298566
19,876.356890611,0.451474034637
20,895.330952542,0.493266217403
21,913.945347969,0.53377875226
22,932.124455031,0.578166128948
23,949.981899164,0.621990582816
24,967.452101945,0.669535509857
25,984.572193845,0.718845195657
26,1001.37098679,0.768235233704
27,1017.873808,0.819170653823
28,1034.10276794,0.869855354535
29,1050.07883071,0.921670689533
30,1065.82198129,0.972743160497
31,1081.34882266,1.02460807429
32,1096.67480794,1.07546191829
33,1111.78087074,1.12921584704
34,1126.63666401,1.18534714409
35,1141.25276135,1.24230546651
36,1155.64652336,1.29749674024
37,1169.82033613,1.3534824543
38,1183.79052727,1.40703755199
39,1197.56151535,1.46039210414
40,1211.14934038,1.51043969559
41,1224.55859087,1.55958903401
42,1237.80376457,1.60432332342
43,1250.89458327,1.64709344514
44,1263.8358517,1.68585377387
45,1276.63874961,1.72224763964
46,1289.30337082,1.75542746992
47,1301.84604283,1.78552981591
48,1314.26334144,1.81296920788
49,1326.56939594,1.83753569169
50,1338.76135537,1.8594046759
51,1350.85211413,1.87851274534
52,1362.83922511,1.89610803026
53,1374.73432782,1.91011671565
54,1386.53529042,1.91987651347
55,1398.2526251,1.92746911571
56,1409.88447655,1.93070846732
57,1421.44042267,1.9329562367
58,1432.91887736,1.93156266473
59,1444.32861132,1.92990577849
60,1455.6681706,1.92519794753
61,1466.94557309,1.92077607633
62,1478.15949039,1.91291022639
63,1489.3172634,1.90598154821
64,1500.41769415,1.89648885286
65,1511.46752655,1.88839994259
66,1522.46563927,1.87836139563
67,1533.41827977,1.87004907592
68,1544.32441558,1.86018738913
69,1555.18978979,1.85218152213
70,1566.01338228,1.84349729121
71,1576.80051029,1.8367390993
72,1587.55022214,1.82856006514
73,1598.26741616,1.82195869725
74,1608.95112543,1.81401667504
75,1619.60585926,1.80775177868
76,1630.23064859,1.8004419091
77,1640.82958551,1.79501773589
78,1651.40161318,1.78887084886
79,1661.9504354,1.78480746271
80,1672.47537345,1.78023845482
81,1682.97932227,1.77799080332
82,1693.46124362,1.775545944
83,1703.92394404,1.77550867504
84,1714.36656645,1.77544689239
85,1724.7915902,1.77789040644
86,1735.19832925,1.78045190419
87,1745.58868046,1.78564178578
88,1755.96246846,1.79100373353
89,1766.32108019,1.79908890834
90,1776.6640394,1.80751281327
91,1786.99308029,1.81859551599
92,1797.30670004,1.83028334635
93,1807.60576743,1.84477001271
94,1817.88972828,1.85975447821
95,1828.15970515,1.87745132691
96,1838.41520236,1.89566368153
97,1848.65706828,1.91659403742
98,1858.88457107,1.93809821466
99,1869.09891511,1.96220240851
100,1879.29906157,1.98693248428
101,1889.48629205,2.01413143796
102,1899.6593908,2.04195440212
103,1909.81969166,2.07219208418
104,1919.96607185,2.10301353227
105,1930.09989108,2.13614813301
106,1940.21996569,2.1697528591
107,1950.3276293,2.20553273927
108,1960.42186888,2.24162772281
109,1970.48251677,2.28466156235
110,1980.51480656,2.32666174552
111,1990.50888948,2.37320170107
112,2000.4741857,2.41733839012
113,2010.40113591,2.46534820538
114,2020.29919473,2.51048370311
115,2030.16246232,2.55900693295
116,2040.00077305,2.60461981191
117,2049.80609496,2.65440884515
118,2059.58405667,2.70245933317
119,2069.32242212,2.75609913781
120,2079.02253363,2.80923882846
121,2088.68317806,2.86489708712
122,2098.30538458,2.91987545913
123,2107.88782715,2.97725055075
124,2117.43142491,3.03379709587
125,2126.93499408,3.09260937976
126,2136.3998079,3.15036563954
127,2145.82467395,3.21037182977
128,2155.20687292,3.27065068373
129,2164.55024768,3.33146267907
130,2173.85747119,3.39051799692
131,2183.12101224,3.45415667501
132,2192.34525452,3.51545813827
133,2201.53183818,3.57790092912
134,2210.67517458,3.64169094119
135,2219.77923441,3.70574430233
136,2228.84289965,3.7693105562
137,2237.86785067,3.83390346082
138,2246.85169397,3.89851409575
139,2255.79715789,3.96363437621
140,2264.70170605,4.02878728547
141,2273.56796833,4.09439085547
142,2282.39399406,4.15971928096
143,2291.18219882,4.22548749593
144,2299.92891781,4.29177900155
145,2308.63898645,4.35723693963
146,2317.31059877,4.42222326482
147,2325.94413433,4.48850501217
148,2334.53907536,4.5536873348
149,2343.09769059,4.61910234254
150,2351.61945049,4.68333633387
151,2360.10544961,4.74838315467
152,2368.55502433,4.81232053351
153,2376.96978513,4.87674143942
154,2385.34951201,4.93977210927
155,2393.6958469,5.00319344072
156,2402.00806235,5.06554680886
157,2410.28764387,5.12832730088
158,2418.53419931,5.18988312525
159,2426.74938577,5.25166648883
160,2434.93269354,5.31235550166
161,2443.08583244,5.37314086034
162,2451.21026382,5.43158729717
163,2459.30508126,5.49175450588
164,2467.36956998,5.55118414297
165,2475.40660876,5.60968438899
166,2483.41790995,5.66573505733
167,2491.4021495,5.72364900539
168,2499.36007782,5.77995597727
169,2507.29215289,5.83679027065
170,2515.20004521,5.89135511244
171,2523.08359691,5.94677501174
172,2530.94371145,6.0005733085
173,2538.78034779,6.05506957817
174,2546.59498515,6.10754681002
