,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
3,3,126.212299514,0.328862115505,19.7317269303,2
8,8,187.513494098,1.57347200761,94.4083204566,3
14,14,242.367945579,2.52133717499,151.280230499,4
22,22,305.677937822,3.27550103358,196.530062015,5
30,30,366.267953916,3.52034297934,211.22057876,6
38,38,425.925539374,3.62634352949,217.580611769,7
46,46,485.087020672,3.69875003079,221.925001847,8
54,54,544.040668435,3.71154915675,222.692949405,9
62,62,602.886178878,3.74218421387,224.531052832,10
70,70,661.700132196,3.73572926891,224.143756135,11
78,78,720.480676125,3.75419614413,225.251768648,12
87,87,786.609734897,3.73569724773,224.141834864,13
95,95,845.371051637,3.75312780163,225.187668098,14
103,103,904.153230293,3.7442098623,224.652591738,15
111,111,962.920976787,3.76068650645,225.641190387,16
119,119,1021.69232446,3.74731303939,224.838782363,17
127,127,1080.46510573,3.73653759344,224.192255606,18
136,136,1146.57282188,3.74579534124,224.747720474,19
144,144,1205.34254108,3.76341919388,225.805151633,20
152,152,1264.11778748,3.75137865433,225.08271926,21
160,160,1322.89589239,3.74086523118,224.451913871,22
168,168,1381.65838475,3.75655370336,225.393222202,23
176,176,1440.42406388,3.74579660597,224.747796358,24
185,185,1506.53782843,3.7534457765,225.20674659,25
193,193,1565.31903307,3.74432334918,224.659400951,26
201,201,1624.0864363,3.76072593886,225.643556332,27
209,209,1682.85766608,3.74732643511,224.839586107,28
217,217,1741.6304078,3.73654202746,224.192521648,29
225,225,1800.38906553,3.7534457537,225.206745222,30
234,234,1866.50782586,3.76341956629,225.805173977,31
242,242,1925.28307129,3.75137874196,225.082724518,32
250,250,1984.06117605,3.740865228,224.45191368,33
258,258,2042.82366854,3.75655367105,225.393220263,34
266,266,2101.58934787,3.74579656467,224.74779388,35
274,274,2160.35906363,3.76341955061,225.805173037,36
283,283,2226.48431755,3.74432330528,224.659398317,37
291,291,2285.251721,3.7607258966,225.643553796,38
299,299,2344.02295099,3.74732639541,224.839583725,39
307,307,2402.79569291,3.73654199037,224.192519422,40
315,315,2461.55435082,3.7534457193,225.206743158,41
323,323,2520.33555575,3.74432329289,224.659397573,42
332,332,2586.44835694,3.75137871233,225.08272274,43
340,340,2645.22646185,3.74086519936,224.451911962,44
348,348,2703.98895448,3.75655364304,225.393218582,45
356,356,2762.75463396,3.7457965372,224.747792232,46
364,364,2821.52434986,3.76341952364,225.805171418,47
372,372,2880.29959551,3.75137870124,225.082722074,48
381,381,2946.41700752,3.76072587074,225.643552244,49
389,389,3005.18823765,3.74732637001,224.839582201,50
397,397,3063.9609797,3.73654196548,224.192517929,51
405,405,3122.71963774,3.75344569482,225.206741689,52
413,413,3181.5008428,3.74432326892,224.659396135,53
421,421,3240.26824643,3.7607258609,225.643551654,54
430,430,3306.39174915,3.7408651763,224.451910578,55
438,438,3365.15424191,3.7565536204,225.393217224,56
446,446,3423.9199215,3.745796515,224.7477909,57
454,454,3482.68963752,3.76341950184,225.80517011,58
462,462,3541.46488328,3.75137867984,225.08272079,59
470,470,3600.24298836,3.74086516756,224.451910054,60
