,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0178986105531
9,0.0137630445249
10,0.0135033445572
11,0.0130908563099
12,0.0104599454307
13,1.0000001e-05
14,1.0000001e-05
15,0.0607860626546
16,0.0323795001171
17,0.0291445724068
18,0.0252973549297
19,0.019201686699
20,1.0000001e-05
21,1.0000001e-05
22,0.153412779522
23,0.106322699935
24,0.0840277328553
25,0.0618151822015
26,0.0368237484686
27,1.0000001e-05
28,1.0000001e-05
29,0.0607860626546
30,0.0323795001171
31,0.0291445724068
32,0.0252973549297
33,0.019201686699
34,1.0000001e-05
35,1.0000001e-05
36,0.0178986105531
37,0.0137630445249
38,0.0135033445572
39,0.0130908563099
40,0.0104599454307
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
