,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
1,1,120.0,0.0030420000042,0.182520000252,2
2,2,180.0,0.00725640000564,0.435384000338,3
3,3,240.0,0.0129120023387,0.774720140322,4
4,4,300.0,0.0201521707097,1.20913024258,5
5,5,360.0,0.029023844895,1.7414306937,6
7,7,469.693521743,0.0601483024725,3.60889814835,7
8,8,515.535584449,0.0840229579391,5.04137747635,8
9,9,557.202504434,0.111896428011,6.71378568066,9
11,11,631.330540074,0.177149402887,10.6289641732,10
12,12,664.963952271,0.212753948754,12.7652369252,11
14,14,727.400807963,0.284726317011,17.0835790207,12
16,16,785.246922379,0.351067060154,21.0640236092,13
18,18,840.101920082,0.40518592826,24.3111556956,14
21,21,919.201615365,0.455926778505,27.3556067103,15
23,23,970.974796204,0.469077698731,28.1446619239,16
25,25,1022.64928001,0.468699814637,28.1219888782,17
28,28,1100.73754585,0.452828326175,27.1696995705,18
30,30,1153.44945988,0.438242831421,26.2945698853,19
32,32,1206.76645742,0.423426945651,25.4056167391,20
34,34,1260.68055502,0.40974522578,24.5847135468,21
37,37,1342.54742456,0.393210917427,23.5926550456,22
39,39,1397.64883539,0.38533210046,23.1199260276,23
41,41,1453.05113706,0.379546954161,22.7728172497,24
43,43,1508.67165263,0.375487171681,22.5292303009,25
45,45,1564.43927371,0.372848647095,22.3709188257,26
47,47,1620.29480882,0.371358049618,22.2814829771,27
50,50,1704.14499281,0.370562265316,22.233735919,28
52,52,1760.04349611,0.370762116215,22.2457269729,29
54,54,1815.92069887,0.37124732522,22.2748395132,30
56,56,1871.76773714,0.371877675381,22.3126605229,31
58,58,1927.58131386,0.372551976773,22.3531186064,32
60,60,1983.36203681,0.373199682112,22.3919809267,33
63,63,2066.97729335,0.374153017515,22.4491810509,34
65,65,2122.69259286,0.374581458683,22.474887521,35
67,67,2178.39056281,0.374905649602,22.4943389761,36
69,69,2234.07611878,0.375133247084,22.507994825,37
71,71,2289.75355994,0.375277667678,22.5166600607,38
73,73,2345.42640778,0.375354987421,22.5212992453,39
75,75,2401.09736708,0.375381632043,22.5228979226,40
78,78,2484.60589214,0.375231032267,22.513861936,41
80,80,2540.27914666,0.375192759151,22.5115655491,42
82,82,2595.95459932,0.375146936848,22.5088162109,43
84,84,2651.63236972,0.375100234699,22.5060140819,44
86,86,2707.31233121,0.375057086193,22.5034251716,45
88,88,2762.99420743,0.375020072208,22.5012043325,46
91,91,2846.51825915,0.375106126049,22.5063675629,47
93,93,2902.2033665,0.375087220219,22.5052332131,48
95,95,2957.88916979,0.375074662716,22.504479763,49
97,97,3013.57539525,0.375067358642,22.5040415185,50
99,99,3069.26182687,0.375064128383,22.503847703,51
101,101,3124.9483055,0.375063841389,22.5038304833,52
103,103,3180.63472317,0.375065499172,22.5039299503,53
106,106,3264.16568335,0.374942150854,22.4965290512,54
108,108,3319.85173586,0.374945468209,22.4967280925,55
110,110,3375.53762847,0.374948641202,22.4969184721,56
112,112,3431.22337736,0.374951437299,22.4970862379,57
114,114,3486.90900588,0.374953738104,22.4972242862,58
116,116,3542.59454005,0.37495551021,22.4973306126,59
119,119,3626.12113835,0.375085002191,22.5051001315,60
