,Unnamed: 0,time,discharge,time_diff,discharge_cmm,discharge_vol,cum_discharge_vol,time_min
142,142,2282.39399406,4.15971928096,8.82602573,249.583156858,36.7137894033,2808.19492031,38
149,149,2343.09769059,4.61910234254,8.55861523,277.146140552,39.5331196578,3076.5914545,39
156,156,2402.00806235,5.06554680886,8.31221545,303.932808532,42.1059164473,3363.75335771,40
164,164,2467.36956998,5.55118414297,8.06448872,333.071048578,44.7674619036,3712.78721416,41
171,171,2523.08359691,5.94677501174,7.8835517,356.806500704,46.8817082533,4034.72560396,42
179,179,2585.35544522,6.3634517816,7.71269585,381.807106896,49.0793681476,4419.79806329,43
187,187,2646.44142647,6.7391943758,7.58099788,404.351662548,51.0898182758,4821.58001085,44
195,195,2706.62811246,7.0689500216,7.48306293,424.137001296,52.8973978607,5238.59184028,45
203,203,2766.16500563,7.34018132128,7.41417086,440.410879277,54.4213584594,5668.83657398,46
211,211,2825.26584732,7.53773601602,7.37037066,452.264160961,55.5559083753,6109.62722767,47
219,219,2884.11533957,7.64590328017,7.34808183,458.75419681,56.182722967,6557.25399482,48
227,227,2942.86940233,7.65804090041,7.34395409,459.482454025,56.240300792,7007.42287233,49
235,235,3001.64955925,7.49561676362,7.35191476,449.737005817,55.1071355198,7453.16940642,50
243,243,3060.53687291,7.34113674333,7.36836945,440.4682046,54.0922077078,7890.31144449,51
252,252,3126.96597189,7.14615095983,7.3914604,428.76905759,52.820491832,8371.25705562,52
260,260,3186.18805955,7.04739430178,7.41147744,422.843658107,52.2316038784,8791.14084177,53
268,268,3245.3505174,6.99484976258,7.37076646,419.690985755,51.5574040228,9206.10889884,54
276,276,3304.12706974,6.9336050018,7.32862586,416.016300108,50.8137969192,9615.15269833,55
284,284,3362.611268,6.87343832472,7.29683174,412.406299483,50.1543229307,10018.6872748,56
292,292,3420.88970253,6.80200231259,7.27531685,408.120138755,49.4867220385,10416.9255909,57
301,301,3486.30083715,6.71056490138,7.26346904,402.633894083,48.7419804021,10858.5525997,58
309,309,3544.3536337,6.64770954656,7.24508264,398.862572794,48.1632050315,11245.8031404,59
317,317,3602.13532427,6.61424449366,7.20737643,396.85466962,47.6713498659,11628.8348058,60
326,326,3666.84241524,6.60064731051,7.17739476,396.038838631,47.3754514191,12056.1152018,61
334,334,3724.18019639,6.62637830152,7.16048246,397.582698091,47.4480656014,12435.2356301,62
342,342,3781.41605076,6.68930931356,7.15078757,401.358558814,47.8338298913,12816.357158,63
351,351,3845.75305787,6.80199735023,7.14771379,408.119841014,48.6187302598,13250.5208942,64
359,359,3902.94059635,6.93719435004,7.14949835,416.231661002,49.5974595592,13643.7143623,65
367,367,3960.15605059,7.10066478761,7.15399244,426.039887257,50.7981022095,14045.7653822,66
376,376,4024.57160711,7.31159522003,7.16001379,438.695713202,52.3511226023,14510.5814329,67
384,384,4081.87526885,7.51609651123,7.16511855,450.965790674,53.8537225362,14936.0940061,68
393,393,4146.21583783,7.80005194562,7.12615346,468.003116737,55.5843671605,15429.4987644,69
401,401,4203.01677331,8.05565137416,7.08061831,483.33908245,57.0389926188,15880.7102734,70
410,410,4266.33277638,8.3896952293,6.98807201,503.381713758,58.6277944043,16402.1455745,71
418,418,4321.79692596,8.69722097012,6.89009684,521.833258207,59.924694723,16876.9951288,72
427,427,4383.25910226,9.05881908834,6.78095431,543.5291453,61.4274383406,17423.8119168,73
436,436,4443.7677597,9.4229513025,6.67822693,565.37707815,62.9286071484,17984.1791212,74
445,445,4503.39862429,9.78183337467,6.58513545,586.91000248,64.4146977215,18557.970627,75
454,454,4562.2444387,10.1361927528,6.50261767,608.171565168,65.9117861009,19145.1687475,76
463,463,4620.39920297,10.4883890384,6.43031311,629.303342304,67.4436255364,19746.0046589,77
473,473,4684.34924958,10.8624418069,6.37008422,651.746508414,69.1946691448,20430.0065983,78
482,482,4741.48187625,11.1819733484,6.33344944,670.918400904,70.8204628415,21060.8980855,79
492,492,4804.64964996,11.5168513291,6.30428296,691.011079746,72.6054895869,21778.9635739,80
501,501,4861.27804992,11.8027941434,6.2826781,708.167648604,74.1531562835,22440.1932187,81
511,511,4923.98538853,12.1102448838,6.26123398,726.614693028,75.8250767726,23190.9458336,82
520,520,4980.24419475,12.386088925,6.24281849,743.1653355,77.3241049598,23880.8552849,83
530,530,5042.56032201,12.7017192325,6.22242307,762.10315395,79.035470781,24663.4423817,84
540,540,5104.67122945,13.0395500379,6.20174705,782.373002274,80.8679909809,25463.7440778,85
549,549,5160.38789808,13.3759748463,6.18151326,802.558490778,82.6837658778,26200.5006057,86
559,559,5222.06966603,13.7948269599,6.15705099,827.689617594,84.9354529903,27039.495553,87
569,569,5283.50034671,14.2658166092,6.13152586,855.948996552,87.4712234533,27902.5560984,88
579,579,5344.67365974,14.7880406292,6.10578228,887.282437752,90.2925564297,28792.5524357,89
589,589,5405.59489563,15.3567837218,6.08126114,921.407023308,93.3886120828,29712.2846133,90
598,598,5460.22737775,15.9027635787,6.06192608,954.165814722,96.4013772818,30567.6929706,91
608,608,5520.73969969,16.5477757403,6.04256217,992.866544418,99.990963686,31551.2547127,92
618,618,5581.0561867,17.2335286464,6.02251369,1034.01171878,103.7891622,32571.9036471,93
628,628,5641.16593512,17.9585754171,6.00150825,1077.51452503,107.778538524,33631.587227,94
638,638,5700.9174213,18.8036763955,5.94900021,1128.22058373,111.863074826,34731.9417039,95
648,648,5760.0885387,19.6742350386,5.89199132,1180.45410232,115.920422075,35872.8169584,96
659,659,5824.54283504,20.5111567748,5.83275742,1230.66940649,119.636601871,37171.9103688,97
669,669,5882.58722706,21.0555338288,5.78098997,1263.33202973,121.721829877,38380.3377303,98
679,679,5940.12110539,21.6153029149,5.73106816,1296.91817489,123.878774304,39608.8123686,99
690,690,6002.85800172,22.2889722805,5.68094657,1337.33833683,126.622460626,40988.4530281,100
701,701,6065.05040544,22.8816625337,5.63156612,1372.89975202,128.859595494,42394.8974332,101
711,711,6121.13503882,23.4974190331,5.58952368,1409.84514199,131.339380104,43696.3862152,102
722,722,6182.35294795,24.3796780065,5.54596257,1462.78068039,135.208781693,45163.3853126,103
733,733,6243.11080069,25.3886218089,5.50486277,1523.31730853,139.760878977,46677.297015,104
744,744,6303.43504092,26.5599675533,5.46705514,1593.5980532,145.20480713,48246.6740566,105
755,755,6363.350623,27.8825872481,5.43053629,1672.95523489,151.41740191,49880.3882265,106
766,766,6422.87985082,29.1740627511,5.39684205,1750.44376507,157.447808624,51582.6649657,107
777,777,6482.05257088,30.4022297464,5.36543479,1824.13378478,163.121181175,53348.7979947,108
788,788,6540.90163411,31.5991694355,5.33737339,1895.95016613,168.656566091,55176.411179,109
800,800,6604.93717679,32.8692679236,5.32159143,1972.15607542,174.916814493,57240.7051621,110
811,811,6663.35514088,34.0694482883,5.30290125,2044.1668973,180.666919915,59198.8511118,111
822,822,6721.54895634,35.3342777891,5.27901867,2120.05666735,186.53031214,61221.5145095,112
834,834,6784.80537185,36.6202862229,5.26072558,2197.21717337,192.64927648,63499.991835,113
845,845,6842.61890348,37.6865595564,5.25201114,2261.19357338,197.930230618,65651.092449,114
856,856,6900.291841,38.7654556257,5.23597543,2325.92733754,202.974973189,67858.7367449,115
868,868,6963.0938631,39.8602789249,5.22737487,2391.61673549,208.364620363,70329.5729414,116
879,879,7020.59317179,40.7892652155,5.2275136,2447.35591293,213.226438648,72650.7122071,117
891,891,7083.28041288,41.7636079557,5.22596093,2505.81647734,218.254983472,75242.7255588,118
902,902,7140.74738995,42.5544425051,5.22343741,2553.26655031,222.280466943,77668.1747815,119
914,914,7203.49679205,43.2307720255,5.23070006,2593.84632153,226.127201828,80361.0591011,120
925,925,7261.12297138,43.6970066883,5.24598023,2621.8204013,229.233633197,82867.4557714,121
937,937,7324.14744883,44.1240750159,5.26228687,2647.44450095,232.193540607,85637.8986448,122
948,948,7382.12058947,44.3218566767,5.27768286,2659.3114006,233.916703306,88199.6687992,123
959,959,7440.34829859,44.4768494488,5.30757498,2668.61096693,236.064213324,90786.0325016,124
971,971,7504.21038562,44.5662774192,5.33905949,2673.97664515,237.942006389,93631.4975698,125
982,982,7563.11214278,44.5672435687,5.36834602,2674.03461412,239.252384634,96257.0821441,126
993,993,7622.42133011,44.3785733063,5.41166463,2662.71439838,240.161955492,98894.7091165,127
1004,1004,7682.16516303,44.1691577044,5.44842401,2650.14946226,240.652299338,101539.808808,128
1015,1015,7742.39807912,43.7782828556,5.49912783,2626.69697134,240.742373601,104187.889129,129
1026,1026,7803.1637343,43.3481778995,5.54577389,2600.89067397,240.399193174,106834.374725,130
1037,1037,7864.52492339,42.7407882936,5.60622053,2564.44729762,239.6142848,109474.475852,131
1047,1047,7920.87004975,42.1250668951,5.66227592,2527.50401371,238.523751909,111864.88406,132
1058,1058,7983.52810924,41.3813786975,5.72547278,2482.88272185,236.927957331,114479.4469,133
1068,1068,8041.17291631,40.5893264832,5.79279577,2435.35958899,235.125678759,116839.110975,134
