,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
5,5,125.907885838,0.770934135973,46.2560481584,2
13,13,184.821374876,2.42981388505,145.788833103,3
23,23,244.813686361,3.4522225751,207.133354506,4
33,33,301.488790755,3.71698510264,223.019106158,5
44,44,363.28079117,3.72108676945,223.265206167,6
55,55,425.028427715,3.73186489959,223.911893975,7
65,65,481.141646327,3.74512370874,224.707422524,8
76,76,542.847367843,3.75025225771,225.015135463,9
87,87,604.507906663,3.76421312787,225.852787672,10
97,97,660.579831428,3.75609368983,225.36562139,11
108,108,722.260271529,3.74464880787,224.678928472,12
119,119,783.932584685,3.75109717176,225.065830306,13
130,130,845.604607632,3.74117736623,224.470641974,14
140,140,901.662898016,3.74025159377,224.415095626,15
151,151,963.327097947,3.74988772834,224.9932637,16
162,162,1024.99591963,3.74399243366,224.63954602,17
172,172,1081.05831783,3.75020162604,225.012097562,18
183,183,1142.72725984,3.76321302084,225.79278125,19
194,194,1204.40267247,3.75194059891,225.116435935,20
204,204,1260.46984983,3.74600979958,224.760587975,21
215,215,1322.13670498,3.75178565819,225.107139491,22
226,226,1383.80643966,3.7414193869,224.485163214,23
237,237,1445.47100222,3.74865692914,224.919415748,24
247,247,1501.52807331,3.74990116317,224.99406979,25
258,258,1563.19686917,3.74399313527,224.639588116,26
269,269,1624.86271765,3.75567678657,225.340607194,27
279,279,1680.92821453,3.76321259984,225.79275599,28
290,290,1742.60362852,3.75194046154,225.116427692,29
301,301,1804.27344031,3.75731458934,225.43887536,30
311,311,1860.33766147,3.75178565409,225.107139245,31
322,322,1922.00739616,3.74141938785,224.485163271,32
333,333,1983.67195871,3.74865692993,224.919415796,33
344,344,2045.34013437,3.74032416844,224.419450106,34
354,354,2101.39782566,3.74399313536,224.639588122,35
365,365,2163.06367414,3.75567678659,225.340607195,36
376,376,2224.73534535,3.75020090467,225.01205428,37
386,386,2280.80458501,3.75194046154,225.116427692,38
397,397,2342.47439679,3.75731458934,225.43887536,39
408,408,2404.14688229,3.74600976407,224.760585844,40
418,418,2460.20835264,3.74141938785,224.485163271,41
429,429,2521.8729152,3.74865692993,224.919415796,42
440,440,2583.54109085,3.74032416844,224.419450106,43
451,451,2645.20510585,3.74990116349,224.994069809,44
461,461,2701.26463063,3.75567678659,225.340607195,45
472,472,2762.93630183,3.75020090467,225.01205428,46
483,483,2824.60524706,3.76321259984,225.79275599,47
493,493,2880.67535328,3.75731458934,225.43887536,48
504,504,2942.34783878,3.74600976407,224.760585844,49
515,515,3004.01469401,3.75178565409,225.107139245,50
525,525,3060.07387169,3.74865692993,224.919415796,51
536,536,3121.74204734,3.74032416844,224.419450106,52
547,547,3183.40606233,3.74990116349,224.994069809,53
558,558,3245.07485819,3.74399313536,224.639588122,54
568,568,3301.13725832,3.75020090467,225.01205428,55
579,579,3362.80620355,3.76321259984,225.79275599,56
590,590,3424.48161754,3.75194046154,225.116427692,57
600,600,3480.54879527,3.74600976407,224.760585844,58
611,611,3542.21565049,3.75178565409,225.107139245,59
622,622,3603.88538518,3.74141938785,224.485163271,60
