,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0138792099653
9,0.0101251797961
10,0.0100080000008
11,0.0100080000008
12,0.0100060000006
13,1.0000001e-05
14,1.0000001e-05
15,0.047114806751
16,0.0266436824802
17,0.0241941034223
18,0.0211036946591
19,0.0147958006354
20,1.0000001e-05
21,1.0000001e-05
22,0.117071572136
23,0.0840777949467
24,0.0664307256301
25,0.0485931510348
26,0.0281762733443
27,1.0000001e-05
28,1.0000001e-05
29,0.047114806751
30,0.0266436824802
31,0.0241941034223
32,0.0211036946591
33,0.0147958006354
34,1.0000001e-05
35,1.0000001e-05
36,0.0138792099653
37,0.0101251797961
38,0.0100080000008
39,0.0100080000008
40,0.0100060000006
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
