,x,hx,model_hx_0.8
1,25.0,0.421851674625,0.423099997846
2,50.0,0.420584848542,0.421947568302
3,75.0,0.419312914241,0.420667132069
4,100.0,0.418035814677,0.419381399545
5,125.0,0.416753491751,0.41809030782
6,150.0,0.41546588629,0.416793794973
7,175.0,0.414172938016,0.415491797903
8,200.0,0.412874585515,0.414184252304
9,225.0,0.411570766211,0.412871092627
10,250.0,0.410261416334,0.411552252046
11,275.0,0.408946470886,0.410227662428
12,300.0,0.40762586361,0.408897254294
13,325.0,0.406299526958,0.407560956781
14,350.0,0.404967392049,0.406218697607
15,375.0,0.403629388639,0.404870403027
16,400.0,0.40228544508,0.403515997795
17,425.0,0.400935488282,0.402155405121
18,450.0,0.399579443672,0.400788546623
19,475.0,0.39821723515,0.399415342285
20,500.0,0.396848785047,0.398035710409
21,525.0,0.395474014082,0.396649567563
22,550.0,0.394092841309,0.395256828531
23,575.0,0.392705184076,0.393857406261
24,600.0,0.391310957968,0.392451211808
25,625.0,0.389910076755,0.391038154274
26,650.0,0.388502452342,0.389618140755
27,675.0,0.38708799471,0.388191076271
28,700.0,0.385666611853,0.386756863709
29,725.0,0.384238209724,0.385315403748
30,750.0,0.382802692165,0.383866594794
31,775.0,0.381359960847,0.382410332907
32,800.0,0.379909915194,0.380946511724
33,825.0,0.378452452316,0.379475022377
34,850.0,0.376987466935,0.377995753417
35,875.0,0.375514851304,0.376508590723
36,900.0,0.374034495127,0.375013417414
37,925.0,0.372546285474,0.373510113757
38,950.0,0.371050106698,0.371998557067
39,975.0,0.369545840333,0.370478621605
40,1000.0,0.368033365008,0.368950178476
41,1025.0,0.366512556341,0.367413095513
42,1050.0,0.364983286837,0.365867237162
43,1075.0,0.363445425776,0.364312464363
44,1100.0,0.361898839101,0.362748634418
45,1125.0,0.3603433893,0.361175600864
46,1150.0,0.358778935275,0.359593213329
47,1175.0,0.357205332217,0.358001317385
48,1200.0,0.355622431467,0.356399754402
49,1225.0,0.354030080371,0.354788361377
50,1250.0,0.352428122131,0.353166970774
51,1275.0,0.350816395645,0.351535410345
52,1300.0,0.349194735344,0.349893502941
53,1325.0,0.347562971016,0.34824106632
54,1350.0,0.345920927625,0.346577912939
55,1375.0,0.344268425117,0.34490384974
56,1400.0,0.342605278218,0.343218677924
57,1425.0,0.340931296223,0.341522192705
58,1450.0,0.339246282772,0.339814183064
59,1475.0,0.337550035613,0.33809443148
60,1500.0,0.335842346354,0.336362713649
61,1525.0,0.334123000203,0.334618798187
62,1550.0,0.33239177569,0.332862446315
63,1575.0,0.330648444373,0.331093411533
64,1600.0,0.328892770534,0.32931143926
65,1625.0,0.327124510851,0.327516266471
66,1650.0,0.325343414051,0.325707621298
67,1675.0,0.323549220546,0.323885222617
68,1700.0,0.321741662048,0.322048779599
69,1725.0,0.319920461156,0.320197991246
70,1750.0,0.31808533092,0.318332545887
71,1775.0,0.31623597438,0.316452120647
72,1800.0,0.314372084075,0.314556380883
73,1825.0,0.312493341515,0.312644979578
74,1850.0,0.310599416632,0.310717556699
75,1875.0,0.308689967179,0.30877373851
76,1900.0,0.306764638102,0.306813136838
77,1925.0,0.304823060863,0.304835348291
78,1950.0,0.302864852715,0.302839953415
79,1975.0,0.300889615935,0.300826515793
80,2000.0,0.298896936996,0.298794581085
81,2025.0,0.296886385677,0.296743675984
