,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0362321480004
9,0.0228794508121
10,0.0227992667344
11,0.0216784492232
12,0.0160039961145
13,1.0000001e-05
14,1.0000001e-05
15,0.0767577999239
16,0.0358901275592
17,0.0350957766242
18,0.0310103119558
19,0.0216784492232
20,1.0000001e-05
21,1.0000001e-05
22,0.326989434186
23,0.20554265746
24,0.156519544966
25,0.102077387099
26,0.049176582572
27,1.0000001e-05
28,1.0000001e-05
29,0.0767577999239
30,0.0358901275592
31,0.0350957766242
32,0.0310103119558
33,0.0216784492232
34,1.0000001e-05
35,1.0000001e-05
36,0.0362321480004
37,0.0228794508121
38,0.0227992667344
39,0.0216784492232
40,0.0160039961145
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
