,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
5,5,124.769496402,0.935860841423,56.1516504854,2
14,14,185.865277582,3.05970316135,183.582189681,3
24,24,243.633835276,3.63201162882,217.920697729,4
35,35,305.551745794,3.72918816472,223.751289883,5
45,45,361.623753391,3.75110399997,225.066239998,6
56,56,423.275507976,3.74822830069,224.893698041,7
67,67,484.929085815,3.74999423823,224.999654294,8
77,77,540.991846083,3.74419742561,224.651845537,9
88,88,602.656127868,3.74981806518,224.989083911,10
99,99,664.328600765,3.75018896727,225.011338036,11
109,109,720.387939205,3.74870944792,224.922566875,12
120,120,782.05983348,3.7511487536,225.068925216,13
131,131,843.723223902,3.75439808726,225.263885236,14
142,142,905.393224154,3.75933931021,225.560358613,15
152,152,961.4545095,3.7552940261,225.317641566,16
163,163,1023.12486274,3.75832890538,225.499734323,17
174,174,1084.79532573,3.74411336536,224.646801922,18
184,184,1140.85611386,3.75933931436,225.560358862,19
195,195,1202.52710176,3.74312970204,224.587782122,20
206,206,1264.1944779,3.74909596665,224.945757999,21
216,216,1320.25821593,3.74411335846,224.646801508,22
227,227,1381.92617063,3.74821039731,224.892623839,23
238,238,1443.59883306,3.7448542911,224.691257466,24
249,249,1505.26428095,3.74871924528,224.923154717,25
259,259,1561.33044264,3.74386214967,224.63172898,26
270,270,1622.99544104,3.74978780362,224.987268217,27
281,281,1684.66789631,3.75020350005,225.012210003,28
291,291,1740.72717116,3.74871924528,224.923154717,29
302,302,1802.39903336,3.75115195703,225.069117422,30
313,313,1864.06241538,3.75439869661,225.263921797,31
323,323,1920.13078652,3.75020350005,225.012210003,32
334,334,1981.79370012,3.75529397484,225.31763849,33
345,345,2043.46405357,3.75832888051,225.499732831,34
356,356,2105.13451664,3.74411335853,224.646801512,35
366,366,2161.19530478,3.75933931315,225.560358789,36
377,377,2222.86629268,3.74312970216,224.58778213,37
388,388,2284.53366882,3.7490959668,224.945758008,38
398,398,2340.59740685,3.74411335853,224.646801512,39
409,409,2402.26536155,3.74821039732,224.892623839,40
420,420,2463.93802398,3.74485429111,224.691257467,41
431,431,2525.60347187,3.74871924528,224.923154717,42
441,441,2581.66963356,3.74386214967,224.63172898,43
452,452,2643.33463196,3.74978780362,224.987268217,44
463,463,2705.00708723,3.75020350004,225.012210002,45
473,473,2761.06636208,3.74871924528,224.923154717,46
484,484,2822.73822428,3.75115195703,225.069117422,47
495,495,2884.4016063,3.75439869661,225.263921797,48
505,505,2940.46997744,3.75020350004,225.012210002,49
516,516,3002.13289104,3.75529397484,225.31763849,50
527,527,3063.80324449,3.75832888051,225.499732831,51
538,538,3125.47370756,3.74411335853,224.646801512,52
548,548,3181.5344957,3.75933931315,225.560358789,53
559,559,3243.2054836,3.74312970216,224.58778213,54
570,570,3304.87285974,3.7490959668,224.945758008,55
580,580,3360.93659777,3.74411335853,224.646801512,56
591,591,3422.60455247,3.74821039732,224.892623839,57
602,602,3484.2772149,3.74485429111,224.691257467,58
612,612,3540.33574995,3.7490959668,224.945758008,59
623,623,3602.00882448,3.74386214967,224.63172898,60
