,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0148850553148
9,0.0100080000008
10,0.0100080000008
11,0.0100080000008
12,0.0100060000006
13,1.0000001e-05
14,1.0000001e-05
15,0.0384428477262
16,0.0208406547373
17,0.0197097481373
18,0.0175201952006
19,0.0127710747574
20,1.0000001e-05
21,1.0000001e-05
22,0.116991225212
23,0.0852075494069
24,0.0671770170433
25,0.0477639541185
26,0.0267964606216
27,1.0000001e-05
28,1.0000001e-05
29,0.0384428477262
30,0.0208406547373
31,0.0197097481373
32,0.0175201952006
33,0.0127710747574
34,1.0000001e-05
35,1.0000001e-05
36,0.0148850553148
37,0.0100080000008
38,0.0100080000008
39,0.0100080000008
40,0.0100060000006
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
