,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.021760677347
9,0.0159823520911
10,0.0159822720911
11,0.0157407400234
12,0.011743866244
13,1.0000001e-05
14,1.0000001e-05
15,0.0620258532491
16,0.0340163744065
17,0.0303088595068
18,0.0265345361539
19,0.019411807485
20,1.0000001e-05
21,1.0000001e-05
22,0.185843757496
23,0.112259562717
24,0.0861563738185
25,0.0630882985875
26,0.0369254907038
27,1.0000001e-05
28,1.0000001e-05
29,0.0620258532491
30,0.0340163744065
31,0.0303088595068
32,0.0265345361539
33,0.019411807485
34,1.0000001e-05
35,1.0000001e-05
36,0.021760677347
37,0.0159823520911
38,0.0159822720911
39,0.0157407400234
40,0.011743866244
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
