,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.179424441283
9,0.111841083424
10,0.109638074452
11,0.100008000001
12,0.100006000001
13,1.0000001e-05
14,1.0000001e-05
15,0.973043886659
16,0.673786236936
17,0.378700737414
18,0.157559572727
19,0.100008000001
20,1.0000001e-05
21,1.0000001e-05
22,1.24974815477
23,0.947546738876
24,0.645675800781
25,0.400888577731
26,0.241804940475
27,1.0000001e-05
28,1.0000001e-05
29,0.973043886659
30,0.673786236936
31,0.378700737414
32,0.157559572727
33,0.100008000001
34,1.0000001e-05
35,1.0000001e-05
36,0.179424441283
37,0.111841083424
38,0.109638074452
39,0.100008000001
40,0.100006000001
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
