,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
4,4,121.343798927,5.95266815526,357.160089316,2
12,12,184.895727414,23.6589873393,1419.53924036,3
21,21,244.144776438,31.9922981483,1919.5378889,4
30,30,300.923595511,32.9960480621,1979.76288373,5
40,40,362.85528894,34.336313436,2060.17880616,6
50,50,424.333739902,35.3079913848,2118.47948309,7
60,60,485.367084004,35.806307344,2148.37844064,8
69,69,540.062154907,36.2548329819,2175.28997891,9
79,79,600.635240313,36.5456409126,2192.73845476,10
89,89,661.059858851,36.7961951551,2207.77170931,11
99,99,721.372313268,36.9689810612,2218.13886367,12
109,109,781.602532437,37.1038427263,2226.23056358,13
119,119,841.771214815,37.202264942,2232.13589652,14
129,129,901.8941301,37.2770523812,2236.62314287,15
139,139,961.982768447,37.3326969235,2239.96181541,16
149,149,1022.0457648,37.3746531045,2242.47918627,17
159,159,1082.08952678,37.4060814983,2244.3648899,18
169,169,1142.11886099,37.4297296967,2245.7837818,19
179,179,1202.13736028,37.4474882997,2246.84929798,20
189,189,1262.14772126,37.4608449368,2247.65069621,21
199,199,1322.15196608,37.4708850111,2248.25310067,22
209,209,1382.15161368,37.4784363186,2248.70617912,23
219,219,1442.14780481,37.4841149674,2249.04689804,24
229,229,1502.14139689,37.488386285,2249.3031771,25
239,239,1562.13303435,37.4915989757,2249.49593854,26
249,249,1622.12320173,37.4940156299,2249.64093779,27
259,259,1682.11226338,37.4958335001,2249.75001001,28
269,269,1742.10049331,37.4972010032,2249.83206019,29
279,279,1802.08809759,37.4982297251,2249.89378351,30
289,289,1862.07523124,37.4990036089,2249.94021653,31
299,299,1922.06201085,37.4995857884,2249.9751473,32
309,309,1982.04852413,37.500023756,2250.00142536,33
319,319,2042.03483705,37.5003532362,2250.02119417,34
329,329,2102.02099924,37.5006011033,2250.0360662,35
339,339,2162.00704804,37.5007875735,2250.04725441,36
349,349,2221.99301154,37.5009278554,2250.05567132,37
359,359,2281.97891087,37.5010333898,2250.06200339,38
369,369,2341.96476192,37.5011127838,2250.06676703,39
379,379,2401.95057665,37.5011725123,2250.07035074,40
389,389,2461.93636406,37.5012174463,2250.07304678,41
399,399,2521.92213091,37.5012512505,2250.07507503,42
409,409,2581.9078823,37.5012766815,2250.07660089,43
419,419,2641.89362205,37.5012958135,2250.07774881,44
429,429,2701.87935305,37.5013102066,2250.0786124,45
439,439,2761.86507747,37.5013210346,2250.07926208,46
449,449,2821.85079693,37.5013291806,2250.07975084,47
459,459,2881.83651267,37.5013353089,2250.08011853,48
469,469,2941.82222561,37.5013399192,2250.08039515,49
479,479,3001.80793643,37.5013433876,2250.08060326,50
489,489,3061.79364567,37.5013459969,2250.08075981,51
499,499,3121.77935372,37.5013479599,2250.08087759,52
509,509,3181.76506086,37.5013494367,2250.0809662,53
519,519,3241.75076734,37.5013505477,2250.08103286,54
529,529,3301.7364733,37.5013513835,2250.08108301,55
539,539,3361.72217888,37.5013520123,2250.08112074,56
549,549,3421.70788418,37.5013524853,2250.08114912,57
559,559,3481.69358925,37.5013528412,2250.08117047,58
569,569,3541.67929417,37.5013531089,2250.08118653,59
579,579,3601.66499896,37.5013533103,2250.08119862,60
