,time,discharge
191,1274.1490045,37.4630882697
192,1280.1495584,37.4641941971
193,1286.15005822,37.4652071096
194,1292.15050218,37.4662534609
195,1298.15089516,37.467208504
196,1304.15123528,37.4681986438
197,1310.15152733,37.4690990737
198,1316.15176936,37.4700361504
199,1322.15196608,37.4708850111
200,1328.15211547,37.471771968
201,1334.15222214,37.4725721072
202,1340.152284,37.4734117024
203,1346.15230562,37.4741657953
204,1352.15228482,37.4749606264
205,1358.15222609,37.4756711987
206,1364.15212721,37.476423724
207,1370.1519926,37.4770931703
208,1376.15181996,37.4778057234
209,1382.15161368,37.4784363186
210,1388.15137138,37.4791111166
211,1394.1510974,37.4797050207
212,1400.15078931,37.4803441665
213,1406.15045138,37.4809034257
214,1412.15008114,37.4815089086
215,1418.14968281,37.4820354557
216,1424.14925387,37.4826091525
217,1430.14879849,37.4831048089
218,1436.14831409,37.4836484869
219,1442.14780481,37.4841149674
220,1448.14726804,37.4846302901
221,1454.14670785,37.4850692093
222,1460.1461216,37.485557744
223,1466.14551332,37.4859706241
224,1472.14488033,37.4864338497
225,1478.14422663,37.4868221282
226,1484.14354949,37.4872614424
227,1490.14285288,37.4876264789
228,1496.14213404,37.4880432042
229,1502.14139689,37.488386285
230,1508.14063866,37.4887816729
231,1514.13986323,37.4891040155
232,1520.13906778,37.4894792497
233,1526.13825619,37.4897820049
234,1532.1374256,37.4901382041
235,1538.13657984,37.4904224593
236,1544.13571605,37.4907606798
237,1550.13483802,37.4910274612
238,1556.13394286,37.4913486998
239,1562.13303435,37.4915989757
240,1568.13210956,37.4919041729
241,1574.13117226,37.4921388569
242,1580.13021949,37.4924289005
243,1586.12925498,37.4926488552
244,1592.12827577,37.4929245832
245,1598.12728557,37.4931306232
246,1604.12628138,37.4933928276
247,1610.12526691,37.4935857228
248,1616.12423913,37.4938351519
249,1622.12320173,37.4940156299
250,1628.12215167,37.4942529911
251,1634.12109261,37.4944217396
252,1640.1200215,37.4946477014
253,1646.11894198,37.4948053703
254,1652.11785099,37.4950205642
255,1658.11675214,37.4951677674
256,1664.11564236,37.49537279
257,1670.11452526,37.4955101071
258,1676.11339773,37.4957055217
259,1682.11226338,37.4958335001
260,1688.1111191,37.4960198387
261,1694.10996845,37.4961389953
262,1700.10880833,37.4963167601
263,1706.1076423,37.4964275832
264,1712.10646722,37.4965972487
265,1718.10528665,37.4967001994
266,1724.10409744,37.4968622137
267,1730.10290314,37.4969577277
268,1736.10170058,37.4971125143
269,1742.10049331,37.4972010032
270,1748.09927814,37.4973489622
271,1754.09805861,37.4974308148
272,1760.09683154,37.4975723242
273,1766.09560043,37.4976479079
274,1772.0943621,37.4977833248
275,1778.09312006,37.4978529868
276,1784.0918711,37.4979826483
277,1790.09061872,37.4980467164
278,1796.08935973,37.4981709413
279,1802.08809759,37.4982297251
280,1808.08682911,37.4983488142
281,1814.08555776,37.4984026061
282,1820.08428031,37.4985168438
283,1826.08300025,37.4985659201
284,1832.08171435,37.4986755747
285,1838.08042606,37.4987201964
286,1844.07913216,37.4988255216
287,1850.0778361,37.4988659352
288,1856.07653464,37.4989671705
289,1862.07523124,37.4990036089
290,1868.07392265,37.4991009808
291,1874.07261232,37.499133664
292,1880.07129698,37.4992273862
293,1886.0699801,37.499256522
294,1892.0686584,37.4993467966
295,1898.06733533,37.4993725814
296,1904.06600761,37.4994595992
297,1910.06467869,37.4994822183
298,1916.0633453,37.4995661595
299,1922.06201085,37.4995857884
300,1928.06067209,37.4996668232
301,1934.05933243,37.4996836272
302,1940.0579886,37.4997619166
303,1946.05664401,37.4997760519
304,1952.05529538,37.4998517478
305,1958.05394614,37.4998633622
306,1964.05259299,37.4999366081
307,1970.05123935,37.4999458411
308,1976.04988193,37.5000167725
309,1982.04852413,37.500023756
310,1988.04716267,37.500092501
311,1994.04580095,37.5000973594
312,2000.04443567,37.500164039
313,2006.04307024,37.5001668898
314,2012.04170136,37.5002316184
315,2018.04033243,37.5002325728
316,2024.03896015,37.5002954583
317,2030.03758791,37.5002946212
318,2036.03621241,37.5003557656
319,2042.03483705,37.5003532362
320,2048.03345851,37.5004127358
321,2054.0320802,37.5004086077
322,2060.03069879,37.5004665535
323,2066.02931768,37.5004609153
324,2072.02793357,37.5005173933
325,2078.02654983,37.5005103284
326,2084.02516315,37.5005654199
327,2090.02377692,37.5005570073
328,2096.02238782,37.500610789
329,2102.02099924,37.5006011033
330,2108.01960786,37.5006536476
331,2114.01821706,37.5006427592
332,2120.01682352,37.5006941346
333,2126.01543062,37.5006821101
334,2132.01403504,37.5007323814
335,2138.01264015,37.5007192836
336,2144.01124265,37.5007685118
337,2150.00984589,37.5007544001
338,2156.00844657,37.5008026429
339,2162.00704804,37.5007875735
340,2168.005647,37.5008348855
341,2174.0042468,37.5008189113
342,2180.00284413,37.5008653439
343,2186.00144236,37.5008485151
344,2192.00003816,37.500894117
345,2197.99863489,37.5008764807
346,2203.99722924,37.500921298
347,2209.99582457,37.500902899
348,2215.99441755,37.5009469749
349,2221.99301154,37.5009278554
350,2227.99160323,37.5009712311
351,2233.99019597,37.5009514309
352,2239.98878643,37.500994145
353,2245.98737798,37.5009737019
354,2251.98596729,37.5010157911
355,2257.98455772,37.5009947405
356,2263.98314594,37.5010362394
357,2269.98173531,37.501014615
358,2275.9803225,37.5010555563
359,2281.97891087,37.5010333898
360,2287.97749709,37.5010738042
361,2293.97608451,37.5010511258
362,2299.97466981,37.5010910425
363,2305.97325634,37.5010678803
364,2311.97184077,37.5011073269
365,2317.97042645,37.5010837078
366,2323.96901006,37.5011227103
367,2329.96759495,37.5010986595
368,2335.96617778,37.5011372424
369,2341.96476192,37.5011127838
370,2347.96334402,37.5011509705
371,2353.96192745,37.5011261266
