,t,model_h0,dt
158,1590.0,0.201283792792,10.0
159,1600.0,0.201825364985,10.0
160,1610.0,0.202365006425,10.0
161,1620.0,0.202902735925,10.0
162,1630.0,0.203438571997,10.0
163,1640.0,0.203972532864,10.0
164,1650.0,0.204504636463,10.0
165,1660.0,0.205034900452,10.0
166,1670.0,0.205563342216,10.0
167,1680.0,0.206089978871,10.0
168,1690.0,0.206614827275,10.0
169,1700.0,0.207137904027,10.0
170,1710.0,0.207659225477,10.0
171,1720.0,0.208178807728,10.0
172,1730.0,0.208696666644,10.0
173,1740.0,0.209212817853,10.0
174,1750.0,0.209727276753,10.0
175,1760.0,0.210240058515,10.0
176,1770.0,0.210751178089,10.0
177,1780.0,0.211260650209,10.0
178,1790.0,0.211768489396,10.0
179,1800.0,0.212274709963,10.0
180,1810.0,0.212779326017,10.0
181,1820.0,0.213282351469,10.0
182,1830.0,0.213783800029,10.0
183,1840.0,0.214283685218,10.0
184,1850.0,0.214782020367,10.0
185,1860.0,0.215278818621,10.0
186,1870.0,0.215774092947,10.0
187,1880.0,0.21626785613,10.0
188,1890.0,0.216760120782,10.0
189,1900.0,0.217250899345,10.0
190,1910.0,0.217740204091,10.0
191,1920.0,0.218228047127,10.0
192,1930.0,0.218714440399,10.0
193,1940.0,0.219199395694,10.0
194,1950.0,0.219682924644,10.0
195,1960.0,0.220165038724,10.0
196,1970.0,0.220645749264,10.0
197,1980.0,0.221125067441,10.0
198,1990.0,0.221603004292,10.0
199,2000.0,0.222079570708,10.0
200,2010.0,0.222554777442,10.0
201,2020.0,0.223028635109,10.0
202,2030.0,0.223501154188,10.0
203,2040.0,0.223972345028,10.0
204,2050.0,0.224442217846,10.0
205,2060.0,0.22491078273,10.0
206,2070.0,0.225378049646,10.0
207,2080.0,0.225844028431,10.0
208,2090.0,0.226308728806,10.0
209,2100.0,0.226772160369,10.0
210,2110.0,0.227234332602,10.0
211,2120.0,0.227695254871,10.0
212,2130.0,0.228154936429,10.0
213,2140.0,0.228613386416,10.0
214,2150.0,0.229070613866,10.0
215,2160.0,0.229526627701,10.0
216,2170.0,0.229981436739,10.0
217,2180.0,0.230435049693,10.0
218,2190.0,0.230887475174,10.0
219,2200.0,0.231338721692,10.0
220,2210.0,0.231788797656,10.0
221,2220.0,0.23223771138,10.0
222,2230.0,0.232685471079,10.0
223,2240.0,0.233132084876,10.0
224,2250.0,0.2335775608,10.0
225,2260.0,0.234021906786,10.0
226,2270.0,0.234465130683,10.0
227,2280.0,0.234907240247,10.0
228,2290.0,0.235348243151,10.0
229,2300.0,0.235788146978,10.0
230,2310.0,0.236226959228,10.0
231,2320.0,0.236664687318,10.0
232,2330.0,0.237101338583,10.0
233,2340.0,0.237536920276,10.0
234,2350.0,0.23797143957,10.0
235,2360.0,0.238404903562,10.0
236,2370.0,0.238837319271,10.0
237,2380.0,0.239268693637,10.0
238,2390.0,0.239699033529,10.0
239,2400.0,0.240128345741,10.0
240,2410.0,0.240556636992,10.0
241,2420.0,0.240983913933,10.0
242,2430.0,0.241410183143,10.0
243,2440.0,0.241835451129,10.0
244,2450.0,0.242259724334,10.0
245,2460.0,0.242683009129,10.0
246,2470.0,0.243105311823,10.0
247,2480.0,0.243526638655,10.0
248,2490.0,0.243946995802,10.0
249,2500.0,0.244366389376,10.0
250,2510.0,0.244784825429,10.0
251,2520.0,0.245202309946,10.0
252,2530.0,0.245618848856,10.0
253,2540.0,0.246034448026,10.0
254,2550.0,0.246449113262,10.0
255,2560.0,0.246862850313,10.0
256,2570.0,0.247275664871,10.0
257,2580.0,0.247687562571,10.0
258,2590.0,0.248098548989,10.0
259,2600.0,0.24850862965,10.0
260,2610.0,0.248917810022,10.0
261,2620.0,0.249326095518,10.0
262,2630.0,0.249733491502,10.0
263,2640.0,0.250140003281,10.0
264,2650.0,0.250545636113,10.0
265,2660.0,0.250950395206,10.0
266,2670.0,0.251354285714,10.0
267,2680.0,0.251757312745,10.0
268,2690.0,0.252159481356,10.0
269,2700.0,0.252560796556,10.0
270,2710.0,0.252961263308,10.0
271,2720.0,0.253360886526,10.0
272,2730.0,0.253759671078,10.0
273,2740.0,0.254157621787,10.0
274,2750.0,0.25455474343,10.0
275,2760.0,0.25495104074,10.0
276,2770.0,0.255346518404,10.0
277,2780.0,0.255741181069,10.0
278,2790.0,0.256135033336,10.0
279,2800.0,0.256528079766,10.0
